country,cluster,Cluster_Name,Cluster_Short,Cluster_Color,Priority,Budget_%
Lesotho,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Liberia,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Libya,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Lithuania,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Luxembourg,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
"Macedonia, FYR",3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Madagascar,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Malawi,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Malaysia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Maldives,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Mali,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Malta,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Mauritania,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Mauritius,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
"Micronesia, Fed. Sts.",0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Moldova,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Mongolia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Montenegro,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Morocco,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Mozambique,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Myanmar,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Namibia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Nepal,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Netherlands,1,High Development Profile,High Development,#2ECC71,Very Low,2
New Zealand,1,High Development Profile,High Development,#2ECC71,Very Low,2
Niger,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Nigeria,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Norway,1,High Development Profile,High Development,#2ECC71,Very Low,2
Oman,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Pakistan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Panama,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Paraguay,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Peru,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Philippines,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Poland,1,High Development Profile,High Development,#2ECC71,Very Low,2
Portugal,1,High Development Profile,High Development,#2ECC71,Very Low,2
Qatar,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Romania,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Russia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Rwanda,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Samoa,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Saudi Arabia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Senegal,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Serbia,1,High Development Profile,High Development,#2ECC71,Very Low,2
Seychelles,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Sierra Leone,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Singapore,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Slovak Republic,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Slovenia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Solomon Islands,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
South Africa,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
South Korea,1,High Development Profile,High Development,#2ECC71,Very Low,2
Spain,1,High Development Profile,High Development,#2ECC71,Very Low,2
Sri Lanka,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
St. Vincent and the Grenadines,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Sudan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Suriname,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Sweden,1,High Development Profile,High Development,#2ECC71,Very Low,2
Switzerland,1,High Development Profile,High Development,#2ECC71,Very Low,2
Tajikistan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Tanzania,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Thailand,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
Timor-Leste,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Togo,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Tonga,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Tunisia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Turkey,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Turkmenistan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Uganda,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Ukraine,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
United Arab Emirates,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8
United Kingdom,1,High Development Profile,High Development,#2ECC71,Very Low,2
United States,1,High Development Profile,High Development,#2ECC71,Very Low,2
Uruguay,1,High Development Profile,High Development,#2ECC71,Very Low,2
Uzbekistan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Vanuatu,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Venezuela,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20
Vietnam,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25
Yemen,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
Zambia,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45
