country,cluster,Cluster_Name,Cluster_Short,Cluster_Color,Priority,Budget_%,Budget_Amount_USD,Budget_Amount_M_USD,Cluster_Country_Count,Cluster_Country_Share_%,child_mort,income,life_expec,total_fer
Guatemala,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,35.4,6710,71.3,3.38
Guyana,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,37.6,5840,65.5,2.65
Iraq,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,36.9,12700,67.2,4.56
Jamaica,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,18.1,8000,74.7,2.17
Jordan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,21.1,9470,75.8,3.66
Kyrgyz Republic,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,29.6,2790,68.5,3.1
"Micronesia, Fed. Sts.",0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,40.0,3340,65.4,3.46
Moldova,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,17.2,3910,69.7,1.27
Mongolia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,26.1,7710,66.2,2.64
Morocco,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,33.5,6440,73.5,2.58
Namibia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,56.0,8460,58.6,3.6
Paraguay,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,24.1,7290,74.1,2.73
Philippines,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,31.9,5600,69.0,3.16
Samoa,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,18.9,5400,71.5,4.34
Solomon Islands,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,28.1,1780,61.7,4.24
South Africa,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,53.7,12000,54.3,2.59
St. Vincent and the Grenadines,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,20.7,9920,71.6,2.07
Suriname,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,24.1,14200,70.3,2.52
Tonga,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,17.4,4980,69.9,3.91
Tunisia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,17.4,10400,76.9,2.14
Turkmenistan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,62.0,9940,67.9,2.83
Ukraine,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,11.7,7820,70.4,1.44
Uzbekistan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,36.3,4240,68.8,2.34
Vanuatu,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,29.2,2950,63.0,3.5
Vietnam,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,23.3,4490,73.1,1.95
Australia,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.8,41400,82.0,1.93
Austria,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.3,43200,80.5,1.44
Bahamas,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,13.8,22900,73.8,1.86
Barbados,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,14.2,15300,76.7,1.78
Bosnia and Herzegovina,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,6.9,9720,76.8,1.31
Canada,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,5.6,40700,81.3,1.63
Chile,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,8.7,19400,79.1,1.88
Costa Rica,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,10.2,13000,80.4,1.92
Croatia,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,5.5,20100,76.3,1.55
Denmark,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.1,44000,79.5,1.87
Finland,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.0,39800,80.0,1.87
France,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.2,36900,81.4,2.03
Germany,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.2,40400,80.1,1.39
Greece,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.9,28700,80.4,1.48
Iceland,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,2.6,38800,82.0,2.2
Israel,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.6,29600,81.4,3.03
Italy,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.0,36200,81.7,1.46
Japan,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.2,35800,82.8,1.39
Netherlands,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.5,45500,80.7,1.79
New Zealand,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,6.2,32300,80.9,2.17
Norway,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.2,62300,81.0,1.95
Poland,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,6.0,21800,76.3,1.41
Portugal,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.9,27200,79.8,1.39
Serbia,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,7.6,12700,74.7,1.4
South Korea,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.1,30400,80.1,1.23
Spain,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.8,32500,81.9,1.37
Sweden,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,3.0,42900,81.5,1.98
Switzerland,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,4.5,55500,82.2,1.52
United Kingdom,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,5.2,36200,80.3,1.92
United States,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,7.3,49400,78.7,1.93
Uruguay,1,High Development Profile,High Development,#2ECC71,Very Low,2.0,20000000.0,20.0,31,18.562874251497004,10.6,17100,76.4,2.08
Afghanistan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,90.2,1610,56.2,5.82
Angola,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,119.0,5900,60.1,6.16
Bangladesh,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,49.4,2440,70.4,2.33
Benin,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,111.0,1820,61.8,5.36
Burkina Faso,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,116.0,1430,57.9,5.87
Burundi,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,93.6,764,57.7,6.26
Cameroon,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,108.0,2660,57.3,5.11
Central African Republic,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,149.0,888,47.5,5.21
Chad,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,150.0,1930,56.5,6.59
Comoros,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,88.2,1410,65.9,4.75
"Congo, Dem. Rep.",2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,116.0,609,57.5,6.54
Cote d'Ivoire,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,111.0,2690,56.3,5.27
Eritrea,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,55.2,1420,61.7,4.61
Gambia,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,80.3,1660,65.5,5.71
Ghana,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,74.7,3060,62.2,4.27
Guinea,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,109.0,1190,58.0,5.34
Guinea-Bissau,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,114.0,1390,55.6,5.05
Haiti,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,208.0,1500,32.1,3.33
India,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,58.8,4410,66.2,2.6
Kenya,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,62.2,2480,62.8,4.37
Kiribati,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,62.7,1730,60.7,3.84
Lao,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,78.9,3980,63.8,3.15
Lesotho,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,99.7,2380,46.5,3.3
Liberia,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,89.3,700,60.8,5.02
Madagascar,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,62.2,1390,60.8,4.6
Malawi,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,90.5,1030,53.1,5.31
Mali,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,137.0,1870,59.5,6.55
Mauritania,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,97.4,3320,68.2,4.98
Mozambique,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,101.0,918,54.5,5.56
Nepal,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,47.0,1990,68.3,2.61
Niger,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,123.0,814,58.8,7.49
Nigeria,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,130.0,5150,60.5,5.84
Pakistan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,92.1,4280,65.3,3.85
Rwanda,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,63.6,1350,64.6,4.51
Senegal,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,66.8,2180,64.0,5.06
Sierra Leone,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,160.0,1220,55.0,5.2
Sudan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,76.7,3370,66.3,4.88
Tajikistan,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,52.4,2110,69.6,3.51
Tanzania,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,71.9,2090,59.3,5.43
Timor-Leste,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,62.6,1850,71.1,6.23
Togo,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,90.3,1210,58.7,4.87
Uganda,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,81.0,1540,56.8,6.15
Yemen,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,56.3,4480,67.5,4.67
Zambia,2,High Development Vulnerability,High Development Vulnerability,#C0392B,Very High,45.0,450000000.0,450.0,44,26.34730538922156,83.1,3280,52.0,5.4
Antigua and Barbuda,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,10.3,19100,76.8,2.13
Bahrain,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,8.6,41100,76.0,2.16
Belarus,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,5.5,16200,70.4,1.49
Belgium,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,4.5,41100,80.0,1.86
Bulgaria,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,10.8,15300,73.9,1.57
Cyprus,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,3.6,33900,79.9,1.42
Czech Republic,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,3.4,28300,77.5,1.51
Estonia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,4.5,22700,76.0,1.72
Hungary,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,6.0,22300,74.5,1.25
Ireland,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,4.2,45700,80.4,2.05
Latvia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,7.8,18300,73.1,1.36
Lebanon,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,10.3,16300,79.8,1.61
Lithuania,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,6.1,21100,73.2,1.5
Luxembourg,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,2.8,91700,81.3,1.63
"Macedonia, FYR",3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,10.4,11400,74.0,1.47
Malaysia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,7.9,21100,74.5,2.15
Maldives,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,13.2,10500,77.9,2.23
Malta,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,6.8,28300,80.3,1.36
Mauritius,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,15.0,15900,73.4,1.57
Montenegro,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,6.8,14000,76.4,1.77
Panama,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,19.7,15400,77.8,2.62
Seychelles,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,14.4,20400,73.4,2.17
Singapore,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,2.8,72100,82.7,1.15
Slovak Republic,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,7.0,25200,75.5,1.43
Slovenia,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,3.2,28700,79.5,1.57
Thailand,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,14.9,13500,76.6,1.55
United Arab Emirates,3,Trade-Intensive Development Profile,Trade-Intensive,#3498DB,Medium,8.0,80000000.0,80.0,27,16.16766467065868,8.6,57600,76.5,1.87
Algeria,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,27.3,12900,76.5,2.89
Argentina,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,14.5,18700,75.8,2.37
Azerbaijan,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,39.2,16000,69.1,1.92
Brazil,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,19.8,14500,74.2,1.8
Brunei,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,10.5,80600,77.1,1.84
China,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,15.7,9530,74.6,1.59
Colombia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,18.6,10900,76.4,2.01
Egypt,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,29.1,9860,70.5,3.19
Gabon,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,63.7,15400,62.9,4.08
Indonesia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,33.3,8430,69.9,2.48
Iran,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,19.3,17400,74.5,1.76
Kazakhstan,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,21.5,20100,68.4,2.6
Kuwait,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,10.8,75200,78.2,2.21
Libya,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,16.6,29600,76.1,2.41
Myanmar,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,64.4,3720,66.8,2.41
Oman,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,11.7,45300,76.1,2.9
Peru,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,20.3,9960,77.9,2.54
Qatar,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,9.0,125000,79.5,2.07
Romania,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,11.5,17800,73.7,1.59
Russia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,10.0,23100,69.2,1.57
Saudi Arabia,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,15.7,45400,75.1,2.96
Sri Lanka,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,11.2,8560,74.4,2.2
Turkey,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,19.1,18000,78.2,2.15
Venezuela,4,Higher-Inflation Development Profile,Higher Inflation,#F39C12,High,20.0,200000000.0,200.0,24,14.37125748502994,17.1,16500,75.4,2.47
